Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status
066B5BB7A384BED2EDCDC65D0BCAA57C1EE971D0_1508318881000,10/18/2017 02:28:00 PM +0000,zSTALLED VEHICLE,"(30.261230,-97.736767)",30.26123,-97.736767,N Ih 35 Svrd Sb & E Cesar Chavez St,ARCHIVED
0A362CA04E5D1A1A33B972938C55AC2595D989F9_1508316087000,10/18/2017 01:41:00 PM +0000,Traffic Impediment,"(30.185598,-97.812579)",30.185598,-97.812579,1700-1930 W Dittmar Rd,ARCHIVED
0CE1D1D8CFA8BDADD7BC865D3E87BBF2FBBC003E_1508320416000,10/18/2017 02:53:00 PM +0000,COLLISION,"(30.285479,-97.812326)",30.285479,-97.812326,4310 Bee Caves Rd,ARCHIVED
0DE1F0466A1DDBB39B3249511CD3FE60BE0D4D6C_1508305877000,10/18/2017 10:51:00 AM +0000,Traffic Hazard,"(30.401971,-97.728792)",30.401971,-97.728792,0 N Mopac Nb At Mopac Railro Trn,ARCHIVED
12F5AA9F4574E1267551B2B784C315C53E19903D_1508328964000,10/18/2017 05:16:00 PM +0000,Crash Service,"(30.265218,-97.736408)",30.265218,-97.736408,700-717 E 5th St,ARCHIVED
1533AD56150B32637090BE48AF8EEF374BDE71E4_1508316682000,10/18/2017 01:51:00 PM +0000,Crash Urgent,"(30.352207,-97.723261)",30.352207,-97.723261,7806-7899 Woodrow Ave,ARCHIVED
178F71645D8D762522EDE90115F4F50F1E19D62B_1508328092000,10/18/2017 05:01:00 PM +0000,Traffic Hazard,"(30.361598,-97.743869)",30.361598,-97.743869,7900-7999 N MOPAC EXPY SVRD NB,ARCHIVED
185B44A1DEEF7AC2851ECBD3FA9B3CDD1A40C152_1508320100000,10/18/2017 02:48:00 PM +0000,Crash Service,"(30.348984,-97.676554)",30.348984,-97.676554,9210 Cameron Rd,ARCHIVED
18C775519E031F57D09D66471927ECBBA6D45826_1508327283000,10/18/2017 04:48:00 PM +0000,Crash Service,"(30.433105,-97.768612)",30.433105,-97.768612,Jollyville Rd & Barrington Way,ARCHIVED
18DD8025688A8458D55DABF67D5CE9D57E155B82_1508312800000,10/18/2017 12:46:00 PM +0000,Crash Service,"(30.367675,-97.613282)",30.367675,-97.613282,12239-12251 Harris Branch Pkwy,ARCHIVED
19F0A07EC3DB522A4D5090526557C039F4F55852_1508320052000,10/18/2017 02:47:00 PM +0000,Crash Urgent,"(30.366144,-97.768990)",30.366144,-97.76899,4306 Deepwoods Dr,ARCHIVED
1C650AB87DA40A1E1A463B66C81988D290D69018_1508326846000,10/18/2017 04:40:00 PM +0000,Crash Service,"(30.356893,-97.732475)",30.356893,-97.732475,2525 W Anderson Ln,ARCHIVED
207F867C47D2D963353D30EC4A836D6290D90FFA_1508295448000,10/18/2017 07:57:00 AM +0000,Traffic Hazard,"(30.391170,-97.746028)",30.39117,-97.746028,9900 Research Blvd Sb,ARCHIVED
20B4D8CAE1EAD69A3B2FCD9231FA7FB9A4F85DF1_1508325977000,10/18/2017 04:26:00 PM +0000,Traffic Hazard,"(30.233998,-97.811051)",30.233998,-97.811051,W Us 290 Hwy Svrd Wb & Stearns Ln,ARCHIVED
0DE1F0466A1DDBB39B3249511CD3FE60BE0D4D6C_1508329746000,10/18/2017 05:29:00 PM +0000,LOOSE LIVESTOCK,"(30.277203,-97.488897)",30.277203,-97.488897,20711 POSTOAK PKWY,ARCHIVED
115131211F2F47272A27CF064775D461D3EF66E6_1508333534000,10/18/2017 06:32:00 PM +0000,Crash Service,"(30.318916,-97.707671)",30.318916,-97.707671,5812 N Ih 35 Svrd Sb,ARCHIVED
