Camera ID,Camera Manufacturer,Turn on Date,ATD Location ID,Primary St Segment ID,Cross St Segment ID,Landmark,Signal Engineer Area,Council District,JURISDICTION,Location Type,Location Name,Primary Street,Cross Street,Modified Date,Primary Street Block,COA Intersection ID,Camera Status,CROSS_ST_AKA,Cross Street Block,PRIMARY_ST_AKA,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address
68,Sarix,,LOC16-000180,2017636,2017637,,CENTRAL,9,,ROADWAY,GUADALUPE ST / 21ST ST,GUADALUPE ST,21ST ST,,2100,5157063,TURNED_ON,,401,,"(30.2837963, -97.7419052)",OFFLINE,06/23/2017 01:59:00 AM +0000,-97.7419052,30.2837963,,http://162.89.4.145/CCTVImages/CCTV68.jpg
1,Sarix,11/18/2016,LOC16-005090,3268115,,"Little Walnut Creek Library, HEB",NORTHEAST,4,,BUILDING,"830 BLK W RUNDBERG LN (Little Walnut Creek Library, HEB)",RUNDBERG LN,,02/14/2017 05:02:00 PM +0000,830,,TURNED_ON,,,,"(30.3636856, -97.6981583)",OFFLINE,10/02/2017 05:18:00 PM +0000,-97.6981583,30.3636856,,http://162.89.4.145/CCTVImages/CCTV1.jpg
3,Sarix,12/20/2016,LOC16-004915,5102830,2029964,,NORTHWEST,6,,ROADWAY,STAKED PLAINS DR / LAKELINE BLVD,STAKED PLAINS DR,LAKELINE BLVD,,10001,5150747,TURNED_ON,,10001,,"(30.4819565, -97.7895737)",OFFLINE,05/11/2017 05:00:00 AM +0000,-97.7895737,30.4819565,,http://162.89.4.145/CCTVImages/CCTV3.jpg
4,Spectra Enhanced,11/30/2016,LOC16-003630,2040576,2020020,,CENTRAL,10,,ROADWAY,35TH ST / PECOS ST,35TH ST,PECOS ST,,3100,5153473,TURNED_ON,,3400,,"(30.31354, -97.76716)",OFFLINE,05/11/2017 05:00:00 AM +0000,-97.76716,30.31354,,http://162.89.4.145/CCTVImages/CCTV4.jpg
2,Spectra Enhanced,11/08/2016,LOC16-000805,2018548,2018299,,NORTHEAST,"3,1",,ROADWAY,AIRPORT BLVD / OAK SPRINGS DR,AIRPORT BLVD,OAK SPRINGS DR,,1137,5162329,TURNED_ON,,3300,,"(30.2735558, -97.6979065)",ONLINE,10/02/2017 08:46:00 PM +0000,-97.6979065,30.2735558,,http://162.89.4.145/CCTVImages/CCTV2.jpg
5,Sarix,11/18/2016,LOC16-000095,2017723,2017797,,CENTRAL,9,,ROADWAY,MARTIN LUTHER KING JR BLVD / RIO GRANDE ST,MARTIN LUTHER KING JR BLVD,RIO GRANDE ST,,700,5156606,TURNED_ON,,1800,,"(30.2825451, -97.7448349)",ONLINE,10/02/2017 08:46:00 PM +0000,-97.7448349,30.2825451,,http://162.89.4.145/CCTVImages/CCTV5.jpg
6,Sarix,08/10/2016,LOC16-001625,2018892,2018893,,CENTRAL,9,,ROADWAY,LAVACA ST / 3RD ST,LAVACA ST,3RD ST,,300,5156460,TURNED_ON,,301,,"(30.2659302, -97.7462463)",ONLINE,10/02/2017 08:46:00 PM +0000,-97.7462463,30.2659302,,http://162.89.4.145/CCTVImages/CCTV6.jpg
10,Spectra Enhanced,11/16/2016,LOC16-000530,2020047,2020046,,CENTRAL,10,,ROADWAY,35TH ST / JACKSON AVE,35TH ST,JACKSON AVE,,1914,5154965,TURNED_ON,,3500,,"(30.3087349, -97.7558899)",OFFLINE,10/24/2017 08:30:00 AM +0000,-97.7558899,30.3087349,,http://162.89.4.145/CCTVImages/CCTV10.jpg
7,Sarix,10/15/2016,LOC16-000500,5056221,5057724,,SOUTHEAST,2,,ROADWAY,PEARCE LN / KELLAM RD,PEARCE LN,KELLAM RD,11/18/2016 11:39:00 PM +0000,13400,5168571,TURNED_ON,,6001,,"(30.163688, -97.611196)",ONLINE,10/02/2017 08:46:00 PM +0000,-97.611196,30.163688,,http://162.89.4.145/CCTVImages/CCTV7.jpg
15,Spectra Enhanced,11/16/2016,LOC16-000950,2024610,3261326,,SOUTHWEST,5,,ROADWAY,MANCHACA RD / STASSNEY LN,MANCHACA RD,STASSNEY LN,,5320,5150642,TURNED_ON,,1820,,"(30.2154312, -97.7977066)",ONLINE,10/02/2017 08:47:00 PM +0000,-97.7977066,30.2154312,,http://162.89.4.145/CCTVImages/CCTV15.jpg
